srcX: 510	srcY: 268	dstX: 232	dstY: 269	idx: 0.905311
srcX: 526	srcY: 268	dstX: 247	dstY: 269	idx: 0.882018
srcX: 547	srcY: 267	dstX: 268	dstY: 268	idx: 0.967094
srcX: 550	srcY: 267	dstX: 271	dstY: 268	idx: 0.972789
srcX: 621	srcY: 267	dstX: 341	dstY: 268	idx: 0.892551
srcX: 627	srcY: 265	dstX: 346	dstY: 266	idx: 0.919003
srcX: 320	srcY: 273	dstX: 40	dstY: 274	idx: 0.932048
srcX: 353	srcY: 273	dstX: 74	dstY: 274	idx: 0.917541
srcX: 355	srcY: 273	dstX: 76	dstY: 274	idx: 0.936646
srcX: 432	srcY: 270	dstX: 154	dstY: 271	idx: 0.891118
srcX: 466	srcY: 270	dstX: 188	dstY: 271	idx: 0.955963
srcX: 488	srcY: 270	dstX: 210	dstY: 271	idx: 0.924873
srcX: 491	srcY: 270	dstX: 213	dstY: 271	idx: 0.918165
srcX: 495	srcY: 270	dstX: 217	dstY: 271	idx: 0.919112
srcX: 508	srcY: 271	dstX: 230	dstY: 272	idx: 0.897302
srcX: 510	srcY: 270	dstX: 232	dstY: 271	idx: 0.8949
srcX: 542	srcY: 271	dstX: 263	dstY: 272	idx: 0.96887
srcX: 360	srcY: 276	dstX: 81	dstY: 277	idx: 0.954639
srcX: 397	srcY: 277	dstX: 118	dstY: 278	idx: 0.924786
srcX: 401	srcY: 278	dstX: 122	dstY: 279	idx: 0.920469
srcX: 435	srcY: 276	dstX: 157	dstY: 277	idx: 0.879505
srcX: 510	srcY: 275	dstX: 232	dstY: 276	idx: 0.898942
srcX: 541	srcY: 276	dstX: 262	dstY: 277	idx: 0.974424
srcX: 547	srcY: 278	dstX: 268	dstY: 279	idx: 0.974034
srcX: 607	srcY: 278	dstX: 327	dstY: 279	idx: 0.958518
srcX: 615	srcY: 277	dstX: 335	dstY: 278	idx: 0.935648
srcX: 338	srcY: 281	dstX: 58	dstY: 282	idx: 0.866668
srcX: 395	srcY: 282	dstX: 116	dstY: 283	idx: 0.93413
srcX: 403	srcY: 280	dstX: 124	dstY: 281	idx: 0.924014
srcX: 407	srcY: 282	dstX: 128	dstY: 283	idx: 0.924684
srcX: 500	srcY: 283	dstX: 222	dstY: 284	idx: 0.920112
srcX: 506	srcY: 282	dstX: 228	dstY: 283	idx: 0.891142
srcX: 523	srcY: 282	dstX: 244	dstY: 283	idx: 0.907233
srcX: 525	srcY: 283	dstX: 246	dstY: 284	idx: 0.922056
srcX: 545	srcY: 280	dstX: 266	dstY: 281	idx: 0.976328
srcX: 611	srcY: 281	dstX: 331	dstY: 282	idx: 0.945906
srcX: 293	srcY: 288	dstX: 12	dstY: 290	idx: 0.906044
srcX: 295	srcY: 287	dstX: 14	dstY: 289	idx: 0.8907
srcX: 403	srcY: 285	dstX: 124	dstY: 286	idx: 0.931621
srcX: 406	srcY: 286	dstX: 127	dstY: 287	idx: 0.924936
srcX: 493	srcY: 288	dstX: 215	dstY: 289	idx: 0.946065
